study.code,n.shifts,best.n.shifts,mean.clade.lambda,var.clade.lambda,lambda.lower.se,lambda.upper.se,mean.clade.mu,var.clade.mu,mu.lower.se,mu.upper.se,net.diver,tree.min.age,tree.max.age,gamma.stat,ntips,n.clade,prop.samp,study.id,taxon.names,rank,kingdom,orig.ntips,binary,ultrametric,usable,study.ref,gamma.corr
A2016.cr.pr,5,2,0.11226,1.00E-04,9.23E-02,1.32E-01,0.0196,0.00017,0,0.04567681,0.09266,0.244910155,49.66910119,-4.033839215,263,329,0.79,Alencaretal2016,Viperidae,family,Metazoa,360,TRUE,TRUE,1,"Laura R.V. Alencar, Tiago B. Quental, Felipe G. Grazziotin, Michael L. Alfaro, Marcio Martins, Mericien Venzon, Hussam Zaher, Diversification in vipers: Phylogenetic relationships, time of divergence and shifts in speciation rates, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 50-62, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.07.029.",-0.144157653
A2017.tr.pr,4,2,0.14689,3.00E-04,1.12E-01,1.82E-01,0.02543,0.00031,0,0.060643634,0.12146,1.214887378,49.39958202,0.171417095,75,139,0.54,Andreetal2017,Costaceae,family,Viridiplantae,85,TRUE,TRUE,1,"Thiago André, Shayla Salzman, Tânia Wendt, Chelsea D. Specht, Speciation dynamics and biogeography of Neotropical spiral gingers (Costaceae), Molecular Phylogenetics and Evolution, Volume 103, October 2016, Pages 55-63, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.07.008.",0.011583294
B2015.pr,2,2,0.77376662,0.067212668,2.55E-01,1.29E+00,0.442515166,0.118144011,0,1.129956832,0.331251454,0.18269879,9.199782856,1.924721745,21,33,0.636,Brassac&Blattner2015,Hordeum,genus,Viridiplantae,23,TRUE,TRUE,1,"Jonathan Brassac, Frank R. Blattner; Species-Level Phylogeny and Polyploid Relationships in Hordeum (Poaceae) Inferred by Next-Generation Sequencing and In Silico Cloning of Multiple Nuclear Loci, Systematic Biology, Volume 64, Issue 5, 1 September 2015, Pages 792–808, https://doi.org/10.1093/sysbio/syv035",0.254935623
B2016.cr.pr,1,1,0.06265,9.00E-05,4.37E-02,8.16E-02,0.01192,0.00013,0,0.034723509,0.05073,0.684598882,37.64405279,-6.651782562,66,68,0.971,Breeschotenetal2016,Onthophagus,genus,Metazoa,77,TRUE,TRUE,1,"Thijmen Breeschoten, Camiel Doorenweerd, Sergei Tarasov, Alfried P. Vogler, Phylogenetics and biogeography of the dung beetle genus Onthophagus inferred from mitochondrial genomes, In Molecular Phylogenetics and Evolution, Volume 105, 2016, Pages 86-95, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.08.016.",-0.480051057
BR2017.cr.pr,14,2,0.328327581,0.000672818,2.76E-01,3.80E-01,0.274753497,0.000803927,0.218046284,0.33146071,0.053574084,0.401795993,114.5937057,-5.582708356,1982,27681,0.072,BetancurRetal2017,Actinopterygii,class,Metazoa,1992,TRUE,TRUE,1,"Ricardo Betancur-RE, Edward O. Wiley, Gloria Arratia, Arturo Acero, Nicolas Bailly, Masaki Miya, Guillaume Lecointre and Guillermo Ortí (2017) Phylogenetic classification of bony fishes. BMC Evolutionary BiologyBMC series – open, inclusive and trusted201717:162
https://doi.org/10.1186/s12862-017-0958-3",-0.072435543
C2015,8,2,0.14671,0.00129,7.49E-02,2.19E-01,0.06492,0.00227,0,0.160209034,0.08179,0.1827589,72.80624065,0.89805729,103,352,0.293,Campanellaetal2015,Ovalentaria,order,Metazoa,103,TRUE,TRUE,1,"Campanella, D., Hughes, L.C., Unmack, P.J., Bloom, D.D., Piller, K.R., and Orti, G. (2015)._Multi-locus fossil-calibrated phylogeny of Atheriniformes (Teleostei: Ovalentaria)._Molecular Phylogenetics and Evolution.",0.051592043
C2017.tr.cr.pr,4,2,0.159981598,0.000653733,1.09E-01,2.11E-01,0.04146356,0.000968375,0,0.103701009,0.118518038,0.057400005,24.60060896,-2.138686488,70,88,0.795,Chenetal2017,Coronellini,tribe,Metazoa,87,TRUE,TRUE,1,"Xin Chen, Alan R. Lemmon, Emily Moriarty Lemmon, R. Alexander Pyron, Frank T. Burbrink, Using phylogenomics to understand the link between biogeographic origins and regional diversification in ratsnakes, Molecular Phylogenetics and Evolution, Volume 111, June 2017, Pages 206-218, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2017.03.017.
(http://www.sciencedirect.com/science/article/pii/S1055790317302385)",-0.149738005
C2018.cr.pr,1,1,0.18243,0.00535,3.61E-02,3.29E-01,0.09793,0.00776,0,0.274111724,0.0845,0.658940001,27.9741595,-1.483124879,16,53,0.302,Carneiroetal2018,Grallariidae,family,Metazoa,19,TRUE,TRUE,1,"Lincoln Carneiro, Gustavo A. Bravo, Natalia Aristizábal, Andrés M. Cuervo, Alexandre Aleixo, Molecular systematics and biogeography of lowland antpittas (Aves, Grallariidae): The role of vicariance and dispersal in the diversification of a widespread Neotropical lineage, Molecular Phylogenetics and Evolution, Volume 120, 2018, Pages 375-389,https://doi.org/10.1016/j.ympev.2017.11.019.",-0.228851137
D2017.cr,1,1,0.95673,0.12,2.64E-01,1.65E+00,0.5535,0.141,0,1.304499334,0.40323,1.683518004,20.49046587,-2.353270054,16,8116,0.002,Dikowetal2017,Orthorrhapha,suborder,Metazoa,16,TRUE,TRUE,1,"Dikow, Rebecca; Frandsen, Paul; Turcatel, Mauren; Dikow, Torsten (2017): MCMC time-calibrated tree of 16 Diptera: Orthorrhapha species. figshare. https://doi.org/10.6084/m9.figshare.4055997.v4",-0.363117453
D2018.cr,1,1,0.166424098,0.000973268,1.04E-01,2.29E-01,0.119877499,0.001175447,0.051307914,0.188447084,0.046546599,2.097940416,159.1861391,-5.487374556,164,4196,0.039,Desamoreetal2018,Dytiscidae,family,Metazoa,164,TRUE,TRUE,1,"Désamoré, Aurélie; Laenen, Benjamin; Bergsten, Johannes; B. Miller, Kelly (2018): Phylogenetic Tree from the BEAST analysis of Dytiscidae. figshare. https://doi.org/10.17045/sthlmuni.5480962.v1",-0.248912365
